490120,0,0,0,0,0,0,0,0
#OK SPDKI RAM_ONLY
490129,0,0,0,0,0,0,0,0
490154,0,0,0,0,0,0,0,0
490179,0,0,0,0,0,0,0,0
490204,0,0,0,0,0,0,0,0
490229,0,0,0,0,0,0,0,0
490254,0,0,0,0,0,0,0,0
490279,0,0,0,0,0,0,0,0
490304,0,0,0,0,0,0,0,0
#PARAMS SPDKP_MILLI=180 SPDKI_MILLI=200 SPDKD_MILLI=0 SPDLIMIT_PCT=60 LINEKP_X1E6=25000 SEARCHMM_X10=800
490306,0,0,0,0,0,0,0,0
490331,0,0,0,0,0,0,0,0
490356,0,0,0,0,0,0,0,0
490381,0,0,0,0,0,0,0,0
490406,0,0,0,0,0,0,0,0
490431,0,0,0,0,0,0,0,0
490456,0,0,0,0,0,0,0,0
490481,0,0,0,0,0,0,0,0
490506,0,0,0,0,0,0,0,0
490531,0,0,0,0,0,0,0,0
#EVT ARM 6 SPEED_LOOP 350 490534
#OK RUN RAM_ONLY
490534,103,0,0,103,0,0,0,0
490559,103,0,0,103,0,0,0,0
490584,103,0,49,103,0,49,0,0
490609,103,0,49,103,0,49,0,0
490634,103,30,44,103,28,44,0,0
490659,103,30,44,103,28,44,0,0
490684,103,75,36,103,73,37,0,0
490709,103,75,36,103,73,37,0,0
490734,103,104,31,103,102,31,0,0
490759,103,104,31,103,102,31,0,0
490784,103,115,29,103,114,29,0,0
490809,103,115,29,103,114,29,0,0
490834,103,115,29,103,115,29,0,0
490859,103,115,29,103,115,29,0,0
490884,103,112,29,103,111,30,0,0
490909,103,112,29,103,111,30,0,0
490934,103,108,30,103,108,30,0,0
490959,103,108,30,103,108,30,0,0
490984,103,107,30,103,107,30,0,0
491009,103,107,30,103,107,30,0,0
491034,103,106,30,103,105,31,0,0
491059,103,106,30,103,105,31,0,0
491084,103,106,30,103,105,31,0,0
491109,103,106,30,103,105,31,0,0
491134,103,107,30,103,107,30,0,0
491159,103,107,30,103,107,30,0,0
491184,103,106,30,103,106,30,0,0
491209,103,106,30,103,106,30,0,0
491234,103,106,30,103,107,30,0,0
491259,103,106,30,103,107,30,0,0
491284,103,107,30,103,105,31,0,0
491309,103,107,30,103,105,31,0,0
491334,103,106,30,103,106,30,0,0
491359,103,106,30,103,106,30,0,0
491384,103,107,30,103,106,30,0,0
491409,103,107,30,103,106,30,0,0
491434,103,107,30,103,106,30,0,0
491459,103,107,30,103,106,30,0,0
491484,103,106,30,103,106,30,0,0
491509,103,106,30,103,106,30,0,0
491534,103,107,30,103,106,30,0,0
491559,103,107,30,103,106,30,0,0
491584,103,106,30,103,106,30,0,0
491609,103,106,30,103,106,30,0,0
491634,103,107,30,103,105,31,0,0
491659,103,107,30,103,105,31,0,0
491684,103,106,30,103,106,30,0,0
491709,103,106,30,103,106,30,0,0
491734,103,107,30,103,106,30,0,0
491759,103,107,30,103,106,30,0,0
491784,103,106,30,103,106,30,0,0
491809,103,106,30,103,106,30,0,0
491834,103,107,29,103,106,30,0,0
491859,103,107,29,103,106,30,0,0
491884,103,105,30,103,105,30,0,0
491909,103,105,30,103,105,30,0,0
491934,103,105,30,103,105,30,0,0
491959,103,105,30,103,105,30,0,0
491984,103,105,30,103,104,30,0,0
492009,103,105,30,103,104,30,0,0
492034,103,105,30,103,104,30,0,0
492059,103,105,30,103,104,30,0,0
492084,103,106,30,103,105,30,0,0
492109,103,106,30,103,105,30,0,0
492134,103,107,29,103,104,30,0,0
492159,103,107,29,103,104,30,0,0
492184,103,106,30,103,105,30,0,0
492209,103,106,30,103,105,30,0,0
492234,103,106,30,103,104,30,0,0
492259,103,106,30,103,104,30,0,0
492284,103,106,30,103,105,30,0,0
492309,103,106,30,103,105,30,0,0
492334,103,106,29,103,104,30,0,0
492359,103,106,29,103,104,30,0,0
492384,103,106,29,103,105,30,0,0
492409,103,106,29,103,105,30,0,0
492434,103,105,30,103,105,30,0,0
492459,103,105,30,103,105,30,0,0
492484,103,104,30,103,104,30,0,0
492509,103,104,30,103,104,30,0,0
492534,103,105,30,103,105,30,0,0
492559,103,105,30,103,105,30,0,0
492584,103,106,29,103,104,30,0,0
492609,103,106,29,103,104,30,0,0
492634,103,106,29,103,104,30,0,0
492659,103,106,29,103,104,30,0,0
492684,103,105,30,103,105,30,0,0
492709,103,105,30,103,105,30,0,0
492734,103,104,30,103,104,30,0,0
492759,103,104,30,103,104,30,0,0
492784,103,106,29,103,105,30,0,0
492809,103,106,29,103,105,30,0,0
492834,103,106,29,103,104,30,0,0
492859,103,106,29,103,104,30,0,0
492884,103,104,30,103,105,30,0,0
492909,103,104,30,103,105,30,0,0
492934,103,105,30,103,105,30,0,0
492959,103,105,30,103,105,30,0,0
492984,103,105,30,103,104,30,0,0
493009,103,105,30,103,104,30,0,0
493034,103,105,30,103,105,30,0,0
493059,103,105,30,103,105,30,0,0
493084,103,106,29,103,104,30,0,0
493109,103,106,29,103,104,30,0,0
493134,103,106,29,103,105,30,0,0
493159,103,106,29,103,105,30,0,0
493184,103,105,30,103,104,30,0,0
493209,103,105,30,103,104,30,0,0
493234,103,105,30,103,105,30,0,0
493259,103,105,30,103,105,30,0,0
493284,103,105,30,103,104,30,0,0
493309,103,105,30,103,104,30,0,0
493334,103,105,30,103,105,30,0,0
493359,103,105,30,103,105,30,0,0
493384,103,106,29,103,104,30,0,0
493409,103,106,29,103,104,30,0,0
493434,103,106,29,103,105,30,0,0
493459,103,106,29,103,105,30,0,0
493484,103,105,30,103,105,30,0,0
493509,103,105,30,103,105,30,0,0
493534,103,104,30,103,104,30,0,0
493559,103,104,30,103,104,30,0,0
493584,103,105,30,103,105,30,0,0
493609,103,105,30,103,105,30,0,0
493634,103,105,30,103,105,30,0,0
493659,103,105,30,103,105,30,0,0
493684,103,106,29,103,104,30,0,0
493709,103,106,29,103,104,30,0,0
493734,103,106,29,103,105,30,0,0
493759,103,106,29,103,105,30,0,0
493784,103,105,30,103,105,30,0,0
493809,103,105,30,103,105,30,0,0
493834,103,104,30,103,104,30,0,0
493859,103,104,30,103,104,30,0,0
493884,103,106,29,103,105,30,0,0
493909,103,106,29,103,105,30,0,0
493934,103,105,30,103,105,30,0,0
493959,103,105,30,103,105,30,0,0
493984,103,105,30,103,104,30,0,0
494009,103,105,30,103,104,30,0,0
494034,103,105,30,103,105,30,0,0
494059,103,105,30,103,105,30,0,0
494084,103,106,29,103,105,30,0,0
494109,103,106,29,103,105,30,0,0
494134,103,106,29,103,105,30,0,0
494159,103,106,29,103,105,30,0,0
494184,103,104,30,103,104,30,0,0
494209,103,104,30,103,104,30,0,0
494234,103,105,30,103,105,30,0,0
494259,103,105,30,103,105,30,0,0
494284,103,105,30,103,104,30,0,0
494309,103,105,30,103,104,30,0,0
494334,103,106,29,103,105,30,0,0
494359,103,106,29,103,105,30,0,0
494384,103,106,29,103,105,30,0,0
494409,103,106,29,103,105,30,0,0
494434,103,105,30,103,104,30,0,0
494459,103,105,30,103,104,30,0,0
494484,103,104,30,103,105,30,0,0
494509,103,104,30,103,105,30,0,0
494534,103,105,30,103,105,30,0,0
494559,103,105,30,103,105,30,0,0
494584,103,105,30,103,105,30,0,0
494609,103,105,30,103,105,30,0,0
494634,103,106,29,103,104,30,0,0
494659,103,106,29,103,104,30,0,0
494684,103,105,30,103,105,30,0,0
494709,103,105,30,103,105,30,0,0
494734,103,105,30,103,105,30,0,0
494759,103,105,30,103,105,30,0,0
494784,103,105,30,103,104,30,0,0
494809,103,105,30,103,104,30,0,0
494834,103,106,29,103,105,30,0,0
494859,103,106,29,103,105,30,0,0
494884,103,106,29,103,105,30,0,0
494909,103,106,29,103,105,30,0,0
494934,103,105,29,103,104,30,0,0
494959,103,105,29,103,104,30,0,0
494984,103,104,29,103,105,30,0,0
495009,103,104,29,103,105,30,0,0
495034,103,103,29,103,104,30,0,0
495059,103,103,29,103,104,30,0,0
495084,103,103,29,103,105,30,0,0
